playerLabel,teamLabel,collegeLabel,positionLabel,height,draftYear
Vickie Johnson,New York Liberty,Louisiana Tech University,shooting guard,175,
Michelle Snow,Chicago Sky,University of Tennessee,center,1.96,
Marlous Nieuwveen,Los Angeles Sparks,,center,196,
Nikki McCray,Washington Mystics,,shooting guard,181,
Taj McWilliams-Franklin,Los Angeles Sparks,St. Edward's University,power forward,191,
Taj McWilliams-Franklin,Connecticut Sun,St. Edward's University,power forward,191,
Taj McWilliams-Franklin,Los Angeles Sparks,Georgia State University,power forward,191,
Katie Gearlds,Seattle Storm,Purdue University,,185,
Taj McWilliams-Franklin,Connecticut Sun,Georgia State University,power forward,191,
Michelle Brogan,Phoenix Mercury,,small forward,185,
LaToya Bond,Charlotte Sting,University of Missouri,point guard,170,
Taj McWilliams-Franklin,Washington Mystics,St. Edward's University,power forward,191,
Sidney Spencer,Los Angeles Sparks,,shooting guard,191,
Sandra van Embricqs,Los Angeles Sparks,"University of California, Los Angeles",center,184,
Taj McWilliams-Franklin,Washington Mystics,Georgia State University,power forward,191,
Brooke Smith,Minnesota Lynx,Stanford University,center,191,
Nikki McCray,Phoenix Mercury,,shooting guard,181,
Elena Delle Donne,Washington Mystics,University of Delaware,shooting guard,196,
Margo Dydek,Connecticut Sun,,center,218,
Rebekkah Brunson,Minnesota Lynx,Georgetown University,center,191,
Andrea Nagy,Sacramento Monarchs,Florida International University,point guard,170,
Jenny Whittle,Washington Mystics,,center,196,
Amanda Lassiter,Minnesota Lynx,University of Missouri,power forward,185,
Courtney Paris,Atlanta Dream,,center,193,
Jacinta Monroe,Washington Mystics,Florida State University,center,196,
Laura Harper,Sacramento Monarchs,,power forward,196,
Bernadette Ngoyisa,Chicago Sky,,center,195,
K. B. Sharp,Chicago Sky,,shooting guard,175,
Angie Bjorklund,Chicago Sky,University of Tennessee,point guard,183,
Cláudia das Neves,Miami Sol,,point guard,170,
Sandrine Gruda,Los Angeles Sparks,INSEP,center,192,
Janice Lawrence Braxton,Cleveland Rockers,Louisiana Tech University,small forward,191,
Sandrine Gruda,Connecticut Sun,INSEP,center,192,
Svetlana Abrosimova,Seattle Storm,University of Connecticut,small forward,185,
Tammy Jackson,Houston Comets,University of Florida,center,190,
Miao Lijie,Sacramento Monarchs,,shooting guard,180,
April Sykes,Los Angeles Sparks,,shooting guard,183,
Brian Winters,Indiana Fever,University of South Carolina,shooting guard,193,
Anastasia Kostaki,Houston Comets,,shooting guard,172,
Bernice Mosby,Washington Mystics,University of Florida,small forward,185,
Amanda Lassiter,Chicago Sky,University of Missouri,power forward,185,
Amisha Carter,New York Liberty,,center,187,
Albena Branzova,New York Liberty,Florida International University,center,193,
Bernadette Ngoyisa,Indiana Fever,,center,195,
K. B. Sharp,Indiana Fever,,shooting guard,175,
Ewelina Kobryn,Seattle Storm,,center,191,
Margo Dydek,Los Angeles Sparks,,center,218,
Andrea Nagy,Washington Mystics,Florida International University,point guard,170,
T. R. Dunn,Charlotte Sting,University of Alabama,shooting guard,193,
Pamela McGee,Los Angeles Sparks,,center,191,
Laurie Koehn,Atlanta Dream,Kansas State University,point guard,173,
Aneika Henry,Atlanta Dream,University of Florida,center,193,
Andrea Stinson,Charlotte Sting,North Carolina State University,shooting guard,178,
Alex Montgomery,New York Liberty,Georgia Tech,shooting guard,185,
Lindsay Taylor,Seattle Storm,"University of California, Santa Barbara",center,183,
Angel Robinson,Seattle Storm,,center,198,
